UniqueIndexID	Source	Acceptability	Sentence	Cleft_construction	Copular_construction	Subject-verb_agreement	Wh-islands_violations	Simple	Question	Auxiliary	Bind	Indefinite_pronouns
57	Graffi_1994	1	Ne sono arrivati molti.	0	0	1	0	1	0	0	0	0
58	Graffi_1994	0	Ne hanno telefonato molti.	0	0	1	0	0	0	0	0	0
59	Graffi_1994	1	Ne è ricomparso il padre.	0	0	1	0	0	0	0	0	0
60	Graffi_1994	0	Ne ha telefonato il padre.	0	0	1	0	0	0	0	0	0
65	Graffi_1994	0	Alessandro è un grande partitore.	0	1	0	0	0	0	0	0	0
66	Graffi_1994	1	Francesco è un grande oratore.	0	1	0	0	1	0	0	0	0
67	Graffi_1994	1	I negozianti hanno aumentato i prezzi.	0	1	0	0	1	0	0	0	0
68	Graffi_1994	1	Le sue opinioni sono cambiate.	0	1	1	0	1	0	0	0	0
69	Graffi_1994	1	Quel filosofo ha cambiato le sue opinioni.	0	0	0	0	1	0	0	0	0
70	Graffi_1994	1	Edoardo ne ha salvati molti.	0	0	1	0	1	0	0	0	0
73	Graffi_1994	1	Il palazzo è crollato.	0	1	0	0	1	0	0	0	0
74	Graffi_1994	1	La partenza è prevista per le ore otto.	0	0	1	0	0	0	0	0	0
78	Graffi_1994	1	Manzoni ha descritto la peste di Milano.	0	0	0	0	1	0	0	0	0
81	Graffi_1994	1	Riccardo ha danneggiato se stesso.	0	0	1	0	0	0	0	0	0
82	Graffi_1994	1	Quegli uomini si sono denunciati.	0	0	1	0	0	0	0	0	0
85	Graffi_1994	1	Hanno dato il premio a lui.	0	0	1	0	1	0	0	0	0
86	Graffi_1994	1	Hanno dato il premio a Gabriele.	0	0	1	0	0	0	0	0	0
87	Graffi_1994	0	Hanno dato il premio gli.	0	0	1	0	0	0	0	0	0
94	Graffi_1994	1	Ho incontrato Lorenzo e Paola.	0	0	1	0	1	0	0	0	0
97	Graffi_1994	1	Ho incontrato lei, non lui.	0	0	1	0	0	0	0	0	0
99	Graffi_1994	1	L'ho incontrato ieri.	0	0	1	0	0	0	0	0	0
105	Graffi_1994	1	Sono andato più volte a Firenze.	0	0	1	0	0	0	0	0	0
106	Graffi_1994	1	Ci sono andato più volte.	0	0	1	0	0	0	0	0	0
107	Graffi_1994	1	Ne ho scoperto solo ieri il colpevole.	0	0	1	0	0	0	0	0	0
108	Graffi_1994	1	Sono stato molto colpito da quella reazione.	0	0	1	0	0	0	0	0	0
109	Graffi_1994	1	Ne sono stato molto colpito.	0	0	1	0	0	0	0	0	0
110	Graffi_1994	1	Ne ho incontrati molti.	0	0	1	0	0	0	0	0	0
111	Graffi_1994	0	Ci più volte sono andato.	0	0	1	0	0	0	0	0	0
112	Graffi_1994	0	Ne solo ieri ho scoperto il colpevole.	0	0	1	0	0	0	0	0	0
113	Graffi_1994	1	Ci sono più volte andato.	0	0	1	0	0	0	0	0	0
114	Graffi_1994	1	Ne ho solo ieri scoperto il colpevole.	0	0	1	0	0	0	0	0	0
115	Graffi_1994	1	Non ce l'ho trovato.	0	0	1	0	0	0	0	0	0
116	Graffi_1994	0	Non c'ho trovato.	0	0	1	0	0	0	0	0	0
117	Graffi_1994	1	Ho dato alcuni libri ad Edoardo.	0	0	1	0	0	0	0	0	0
118	Graffi_1994	1	Gliene ho dati.	0	0	1	0	0	0	0	0	0
119	Graffi_1994	1	In quella biblioteca non ho trovato molti libri.	0	0	1	0	0	0	0	0	0
120	Graffi_1994	1	Non ho trovato molti libri in quella biblioteca.	0	0	1	0	0	0	0	0	0
121	Graffi_1994	0	Non ne ci ho trovati molti.	0	0	1	0	1	0	0	0	1
122	Graffi_1994	1	Ho incontrato lei.	0	0	1	0	1	0	0	0	0
123	Graffi_1994	1	Ho incontrato loro.	0	0	1	0	0	0	0	0	0
124	Graffi_1994	1	Li ho incontrati.	0	0	1	0	1	0	0	0	0
125	Graffi_1994	1	Ho incontrato molti amici.	0	0	1	0	0	0	0	0	0
126	Graffi_1994	1	L'ho visto.	0	0	1	0	0	0	0	0	0
127	Graffi_1994	1	Sono andato a Roma perché volevo parlare con Tommaso, ma non l'ho visto.	0	0	1	0	0	0	0	0	0
128	Graffi_1994	0	Beatrice ha parlato di se stesso.	0	0	1	0	0	0	0	0	0
129	Graffi_1994	1	Riccardo ha ingannato se stesso.	0	0	1	0	0	0	0	0	0
130	Graffi_1994	1	Francesco lo ha ingannato.	0	0	1	0	1	0	0	0	0
131	Graffi_1994	1	Edoardo dice che Tommaso lo ha ingannato.	0	0	1	0	0	0	0	0	0
132	Graffi_1994	1	Tommaso ha detto che Emma ha fatto questo regalo a lui (e non a Francesco).	0	0	1	0	0	0	0	0	0
133	Graffi_1994	1	Lui ha detto che Paola ha fatto questo regalo a Lorenzo (e non ad Alessandro).	0	0	1	0	0	0	0	0	0
134	Graffi_1994	1	La sua arringa non ha convinto i giudici.	0	0	1	0	0	0	0	0	0
135	Graffi_1994	1	L'avvocato Azzeccagarbugli ce l'ha messa tutta, ma la sua arringa non ha convinto i giudici.	0	0	1	0	0	0	0	0	0
136	Graffi_1994	1	I loro argomenti non hanno convinto gli studenti.	0	0	1	0	0	0	0	0	0
137	Graffi_1994	1	Gli argomenti di quei professori non hanno convinto i loro studenti.	0	0	1	0	0	0	0	0	0
138	Graffi_1994	0	La propria arringa non ha convinto i giudici.	0	0	1	0	0	0	0	0	0
139	Graffi_1994	1	Riccardo è partito.	0	0	1	0	0	0	0	0	0
140	Graffi_1994	1	Il figlio del mio vicino del terzo piano è partito.	0	0	1	0	0	0	0	0	0
142	Graffi_1994	1	Lorenzo è tornato l'anno scorso nella sua città natale.	0	0	1	0	0	0	0	0	0
143	Graffi_1994	1	Nella sua città natale, Riccardo è tornato l'anno scorso.	0	0	1	0	0	0	0	0	0
144	Graffi_1994	1	Francesco è tornato nella sua città natale l'anno scorso.	0	0	1	0	0	0	0	0	0
145	Graffi_1994	0	Edoardo è tornato nella sua l'anno scorso città natale.	0	0	1	0	0	0	0	0	0
146	Graffi_1994	1	Leonardo l'anno scorso è tornato nella sua città natale.	0	0	1	0	0	0	0	0	0
148	Graffi_1994	0	Riccardo è.	0	1	0	0	1	0	0	0	0
149	Graffi_1994	1	Leonardo è tornato l'anno scorso nella sua città natale e nel villaggio dove aveva trascorso la sua infanzia.	0	0	1	0	0	0	0	0	0
150	Graffi_1994	0	Francesco ha mangiato una mela e nella sua città natale.	0	0	1	0	0	0	0	0	0
151	Graffi_1994	1	Gabriele ci è tornato l'anno scorso.	0	0	1	0	0	0	0	0	0
152	Graffi_1994	1	Giulia ha salutato il suo ragazzo.	0	0	1	0	0	0	0	0	0
153	Graffi_1994	1	Emma lo ha salutato.	0	0	1	0	0	0	0	0	0
154	Graffi_1994	1	Riccardo ha dormito dentro il sacco a pelo.	0	0	1	0	0	0	0	0	0
155	Graffi_1994	1	Edoardo ha portato dentro il sacco a pelo.	0	0	1	0	0	0	0	0	0
156	Graffi_1994	0	Dentro il sacco a pelo, Lorenzo ha portato.	0	0	1	0	0	0	0	0	0
157	Graffi_1994	1	Gabriele ha dormito dentro il sacco a pelo e sotto la finestra.	0	0	1	0	0	0	0	0	0
158	Graffi_1994	0	Andrea ha portato dentro il sacco a pelo e sotto la finestra.	0	0	1	0	0	0	0	0	0
159	Graffi_1994	1	Dentro il sacco a pelo, Riccardo ci ha dormito.	0	0	1	0	0	0	0	0	0
160	Graffi_1994	0	Dentro l'armadio, Gabriele ci ha portato.	0	0	1	0	0	0	0	0	0
161	Graffi_1994	1	Molto intelligente, Andrea non è.	0	1	0	0	0	0	0	0	0
162	Graffi_1994	1	Gabriele non è molto intelligente, credo.	0	1	0	0	0	0	0	0	0
163	Graffi_1994	1	Leonardo, credo, non è molto intelligente.	0	1	0	0	0	0	0	0	0
164	Graffi_1994	1	Tommaso non è, credo, molto intelligente.	0	1	0	0	0	0	0	0	0
166	Graffi_1994	1	Leonardo è molto intelligente.	0	1	0	0	0	0	0	0	0
167	Graffi_1994	1	Gabriele è abbastanza onesto.	0	1	0	0	0	0	0	0	0
168	Graffi_1994	1	Gabriele è molto intelligente e abbastanza onesto.	0	1	0	0	0	0	0	0	0
169	Graffi_1994	1	Lorenzo lo ha incontrato.	0	0	1	0	0	0	0	0	0
170	Graffi_1994	1	Molte persone hanno chiamato quel numero.	0	0	1	0	0	0	0	0	0
171	Graffi_1994	1	Hanno chiamato quel numero molte persone.	0	0	1	0	0	0	0	0	0
172	Graffi_1994	0	Hanno molte persone chiamato quel numero.	0	0	1	0	0	0	0	0	0
173	Graffi_1994	0	Hanno chiamato, credo, quel numero molte persone.	0	0	1	0	0	0	0	0	0
176	Graffi_1994	0	Hanno chiamato quel molte persone numero.	0	0	1	0	0	0	0	0	0
177	Graffi_1994	1	Il ragazzo che abita al quarto piano del condominio in fondo alla strada a destra cammina.	0	0	0	0	0	0	1	0	0
179	Graffi_1994	1	Andrea e il ragazzo che abita al quarto piano del condominio in fondo alla strada a destra camminano.	0	0	0	0	0	0	1	0	0
180	Graffi_1994	1	Gabriele ha visto la sua amica con un binocolo.	0	0	1	0	0	0	0	0	0
181	Graffi_1994	1	Ho trovato vuota la gabbia.	0	0	1	0	1	0	0	0	0
182	Graffi_1994	1	Ho trovato la gabbia vuota.	0	0	1	0	0	0	0	0	0
185	Graffi_1994	1	Beatrice ha detto che Riccardo crede che Alessandro abbia mentito.	0	0	1	0	0	0	1	0	0
186	Graffi_1994	1	Francesco ha comprato il giornale.	0	0	0	0	1	0	0	0	0
187	Graffi_1994	1	Andrea non ha comprato il giornale.	0	0	0	0	1	0	0	0	0
188	Graffi_1994	1	Gli amici hanno salutato Leonardo.	0	0	0	0	1	0	0	0	0
189	Graffi_1994	1	Andrea è stato salutato dagli amici.	0	0	1	0	0	0	0	0	0
190	Graffi_1994	1	Francesco ha domandato chi aveva visto Andrea.	0	0	1	0	0	0	1	0	0
191	Graffi_1994	1	Gabriele ha domandato chi non aveva visto Leonardo.	0	0	1	0	0	0	1	0	0
192	Graffi_1994	1	Questo libro, non lo ho aveva mai letto.	0	0	1	0	0	0	0	0	0
193	Graffi_1994	1	A Tommaso, gli ho regalato un portafortuna.	0	0	1	0	0	0	0	0	0
194	Graffi_1994	1	Non avevo mai letto questo libro.	0	0	1	0	0	0	0	0	0
195	Graffi_1994	1	Ho regalato un portafortuna a Tommaso.	0	0	1	0	0	0	0	0	0
196	Graffi_1994	1	Mi hanno detto che Tommaso parlerà domani.	0	0	1	0	0	0	1	0	0
198	Graffi_1994	1	Riccardo, gli ho regalato un portafortuna.	0	0	1	0	0	0	0	0	0
199	Graffi_1994	1	Questo signore, Dio gli ha toccato il cuore.	0	0	1	0	0	0	0	0	0
200	Graffi_1994	1	Edoardo ho visto ieri, non Tommaso.	0	0	1	0	0	0	0	0	0
201	Graffi_1994	1	A Francesco ho dato il libro, non a Lorenzo.	0	0	1	0	0	0	0	0	0
203	Graffi_1994	0	Gabriele ho dato il libro, non a Riccardo.	0	0	1	0	0	0	0	0	0
204	Graffi_1994	1	Lo riferirò ai giudici, quello che ho sentito.	0	0	1	0	0	0	0	0	0
206	Graffi_1994	1	Riferirò ai giudici quello che ho sentito.	0	0	1	0	0	0	0	0	0
209	Graffi_1994	1	È Lorenzo che parlerà stasera in piazza alla cittadinanza.	1	1	0	0	0	0	0	0	0
210	Graffi_1994	1	È in piazza che Francesco parlerà stasera alla cittadinanza.	1	0	0	0	0	0	0	0	0
211	Graffi_1994	1	È alla cittadinanza che Tommaso parlerà stasera in piazza.	1	0	0	0	0	0	0	0	0
212	Graffi_1994	1	Alessandro ha riconosciuto i suoi errori.	0	1	0	0	1	0	0	0	0
213	Graffi_1994	1	Lorenzo non ha riconosciuto i suoi errori.	0	1	0	0	1	0	0	0	0
214	Graffi_1994	0	Che cosa ha comprato il giornale Andrea?	0	1	0	0	0	1	0	0	0
215	Graffi_1994	0	Gabriele ha comprato.	0	1	1	0	0	0	0	0	0
218	Graffi_1994	1	Tommaso ha messo i fogli nel cassetto.	0	0	1	0	0	0	0	0	0
219	Graffi_1994	1	Su quale cassetto Tommaso ha sparso i fogli?	0	0	0	0	0	1	1	0	0
220	Graffi_1994	1	Su quale cassetto hai detto che Tommaso ha sparso i fogli?	0	0	0	0	0	1	1	0	0
221	Graffi_1994	1	Su quale pavimento hai detto che Andrea ha sparso i fogli?	0	0	0	0	0	1	1	0	0
222	Graffi_1994	1	Su quale pavimento hai detto che Gabriele crede che Francesco ha sparso i fogli?	0	0	0	0	0	1	1	0	0
223	Graffi_1994	1	Che figura credi che Edoardo abbia fatto agli esami di maturità?	0	0	0	0	0	1	1	0	0
224	Graffi_1994	1	Che attenzione ritieni che l'uditorio abbia prestato a Leonardo?	0	0	0	0	0	1	1	0	0
225	Graffi_1994	1	Che partito pensi che Tommaso abbia tratto da quella situazione?	0	0	0	0	0	1	1	0	0
226	Graffi_1994	0	Quali pietre desideri che dormano in questa stanza?	0	0	0	0	0	1	1	0	0
236	Graffi_1994	1	Non so che cosa abbia comprato Tommaso.	0	0	1	0	0	0	0	0	0
237	Graffi_1994	1	Non so che cosa Riccardo abbia comprato.	0	0	1	0	0	0	0	0	0
239	Graffi_1994	1	So che Lorenzo ha comprato il giornale.	0	0	1	0	0	0	0	0	0
242	Graffi_1994	1	Il fatto che i soldati si siano comportati così non ha meravigliato nessuno.	0	0	0	0	0	0	1	0	0
243	Graffi_1994	1	L'idea che i soldati potessero comportarsi così non era venuta in mente a nessuno.	0	0	0	0	0	0	1	0	0
244	Graffi_1994	1	L'ordine che i soldati si comportassero così non era stato dato da nessuno.	0	0	0	0	0	0	1	0	0
245	Graffi_1994	1	Dato che Riccardo è arrivato tardi, abbiamo dovuto cenare in fretta.	0	0	0	0	0	0	1	0	0
246	Graffi_1994	1	Abbiamo aspettato l'arrivo di Alessandro per poter cenare tutti insieme.	0	0	1	0	0	0	0	0	0
247	Graffi_1994	1	Abbiamo potuto cenare.	0	0	1	0	0	0	0	0	0
248	Graffi_1994	1	Abbiamo aspettato l'arrivo di Lorenzo.	0	0	1	0	0	0	0	0	0
249	Graffi_1994	1	Abbiamo dovuto cenare in fretta, dato che Edoardo è arrivato tardi.	0	0	1	0	0	0	0	0	0
250	Graffi_1994	1	Abbiamo potuto cenare, quando è arrivato Gabriele.	0	0	1	0	0	0	0	0	0
251	Graffi_1994	1	Per poter cenare tutti insieme, abbiamo aspettato l'arrivo di Alessandro.	0	0	1	0	0	0	0	0	0
252	Graffi_1994	1	La quercia è caduta.	0	1	1	0	0	0	0	0	0
253	Graffi_1994	1	La quercia grande è caduta.	0	1	1	0	0	0	0	0	0
254	Graffi_1994	1	La quercia che era grande è caduta.	0	1	1	0	0	0	0	0	0
255	Graffi_1994	1	La quercia della quale aveva parlato il poeta è caduta.	0	1	1	0	0	0	0	0	0
256	Graffi_1994	1	Contesto in pieno quanto ha affermato il testimone.	0	0	1	0	0	0	0	0	0
257	Graffi_1994	1	Gli studenti che non si sono iscritti all'appello non possono sostenere l'esame.	0	0	1	0	0	0	1	0	0
258	Graffi_1994	1	Andrea, che non si è iscritto all'appello, non può sostenere l'esame.	0	0	0	0	0	0	1	0	0
259	Graffi_1994	1	Abbiamo bruciato i libri che erano inutili.	0	0	1	0	0	0	0	0	0
260	Graffi_1994	1	Abbiamo bruciato i libri, che erano inutili.	0	0	1	0	0	0	0	0	0
261	Graffi_1994	1	L'uomo che parlerà stasera non sa una parola di inglese.	0	0	0	0	0	0	1	0	0
262	Graffi_1994	1	Riccardo, il quale è venuto a trovarmi ieri, mi ha detto di salutarti.	0	0	1	0	0	0	1	0	0
263	Graffi_1994	1	Lo studente che è venuto a trovarmi ieri mi ha detto di salutarti.	0	0	1	0	0	0	1	0	0
264	Graffi_1994	0	Lo studente il quale è venuto a trovarmi ieri mi ha detto di salutarti.	0	0	1	0	0	0	1	0	0
265	Graffi_1994	1	Riccardo ha ordinato a Maria di studiare ogni giorno.	0	0	1	0	0	0	1	0	0
266	Graffi_1994	1	Lui ha incontrato Beatrice alla stazione.	0	0	1	0	0	0	0	0	0
267	Graffi_1994	1	Ha incontrato Maria alla stazione.	0	0	1	0	0	0	0	0	0
268	Graffi_1994	0	Francesco ha ordinato a Maria di lei studiare ogni giorno.	0	0	1	0	0	0	1	0	0
269	Graffi_1994	1	Non è possibile parlare domani.	0	1	0	0	0	0	0	0	0
271	Graffi_1994	1	Francesco non sa che cosa fare di questi soldi.	0	0	0	0	0	0	1	0	0
272	Graffi_1994	1	Andrea ha parlato della Divina Commedia.	0	0	1	0	0	0	0	0	0
273	Graffi_1994	1	Lorenzo ne ha parlato.	0	0	1	0	0	0	0	0	0
274	Graffi_1994	1	Alessandro ha assunto la guida del governo.	0	0	1	0	0	0	0	0	0
275	Graffi_1994	1	Francesco ne ha assunto la guida.	0	0	1	0	0	0	1	0	0
276	Graffi_1994	1	Paola dubita di aver incontrato la persona giusta.	0	0	0	0	0	0	1	0	0
278	Graffi_1994	1	Paola si rammarica di aver agito così.	0	0	0	0	0	0	1	0	0
279	Graffi_1994	1	Riccardo lo ha promesso a Paola.	0	0	1	0	0	0	1	0	0
280	Graffi_1994	1	Gabriele lo ha ordinato a Beatrice.	0	0	1	0	0	0	0	0	0
282	Graffi_1994	1	Leonardo ha sentito lei cantare l'Aida.	0	0	1	0	0	0	0	0	0
283	Graffi_1994	0	Ho fatto Riccardo parlare.	0	0	1	0	0	0	0	0	0
284	Graffi_1994	1	Ho lasciato parlare Edoardo.	0	0	1	0	0	0	0	0	0
285	Graffi_1994	0	Ho lasciato Riccardo parlare.	0	0	1	0	0	0	0	0	0
286	Graffi_1994	1	Il Gentile […] aveva dichiarato molto significativamente esser la sua filosofia nient'affatto separata dal mondo degli uomini.	0	0	1	0	0	0	0	0	0
287	Graffi_1994	1	La commissione ritiene dunque aver il candidato fornito sufficienti prove della sua maturità scientifica.	0	0	0	0	0	0	1	0	0
288	Graffi_1994	1	Il candidato ha fornito sufficienti prove della sua maturità scientifica.	0	0	0	0	0	0	1	0	0
289	Graffi_1994	0	Ha fornito il candidato sufficienti prove della sua maturità scientifica.	0	0	1	0	0	0	1	0	0
290	Graffi_1994	1	Avendo incontrato di nuovo Alice, Riccardo si sentiva molto felice.	0	0	1	0	0	0	1	0	0
291	Graffi_1994	1	Hanno eletto Gabriele presidente.	0	0	1	0	1	0	0	0	0
293	Graffi_1994	1	Andrea è stato eletto presidente.	0	1	1	0	0	0	0	0	0
295	Graffi_1994	1	I personaggi descritti nel romanzo non sono molto fedeli alla realtà.	0	0	0	0	0	0	1	0	0
296	Graffi_1994	1	Nel filmato, Alice ha visto se stessa ritirare un premio.	0	0	1	0	0	0	0	0	0
297	Graffi_1994	1	Chi prevedi che Riccardo incontrerà a Bruxelles?	0	0	0	1	0	1	0	0	0
299	Graffi_1994	1	I vandali saccheggiarono Roma.	0	0	0	0	1	0	0	0	0
302	Graffi_1994	1	Andrea ha domandato che ora era.	0	0	0	0	1	0	0	0	0
303	Graffi_1994	1	Riccardo ha domandato l'ora.	0	0	0	0	1	0	0	0	0
304	Graffi_1994	1	Francesco ha convinto suo figlio che è utile studiare il latino.	0	0	1	0	0	0	1	0	0
305	Graffi_1994	1	Edoardo ha convinto suo figlio dell'utilità di studiare il latino.	0	0	1	0	0	0	1	0	0
306	Graffi_1994	0	Leonardo ha convinto suo figlio l'utilità studiare il latino.	0	0	1	0	0	0	1	0	0
307	Graffi_1994	1	Roma fu saccheggiata dai Vandali.	0	1	1	0	0	0	0	0	0
308	Graffi_1994	1	Roma fu saccheggiata.	0	1	1	0	0	0	0	0	0
309	Graffi_1994	1	Il suo timore della guerra è ingiustificato.	0	1	0	0	0	0	0	0	0
310	Graffi_1994	1	La guerra è molto temuta da Edoardo.	0	1	0	0	0	0	0	0	0
311	Graffi_1994	1	La guerra è molto temuta.	0	1	0	0	0	0	0	0	0
312	Graffi_1994	1	Alessandro ha perso la testa.	0	1	0	0	1	0	0	0	0
313	Graffi_1994	1	Gabriele ha tirato le cuoia.	0	1	0	0	1	0	0	0	0
314	Graffi_1994	1	Francesco ha tirato il cordoncino del campanello.	0	1	1	0	0	0	0	0	0
315	Graffi_1994	0	I vandali saccheggiarono di Roma.	0	0	0	0	1	0	0	0	0
316	Graffi_1994	1	Alessandro ha affermato che la situazione è grave.	0	0	1	0	0	0	1	0	0
317	Graffi_1994	1	L'affermazione di Lorenzo che la situazione è grave.	0	0	0	0	0	0	1	0	0
318	Graffi_1994	0	L'affermazione di Francesco che di la situazione è grave.	0	0	0	0	0	0	1	0	0
319	Graffi_1994	0	Tommaso è bramoso potere.	0	1	0	0	0	0	0	0	0
320	Graffi_1994	1	Edoardo non si era accorto che Francesco era entrato.	0	0	0	0	0	0	1	0	0
321	Graffi_1994	1	Tommaso non si era accorto dell'entrata di Leonardo.	0	0	0	0	0	0	1	0	0
322	Graffi_1994	0	Riccardo non si era accorto l'entrata di Edoardo.	0	0	0	0	0	0	1	0	0
326	Graffi_1994	1	Riccardo ha scommesso sulla barca di Tommaso.	0	0	1	0	0	0	1	0	0
327	Graffi_1994	1	Sulla barca di Leonardo, Alessandro ha scommesso.	1	0	1	0	0	0	1	0	0
331	Graffi_1994	1	Penso che Edoardo domandi che ora è a Tommaso.	0	0	0	0	0	0	1	0	0
342	Graffi_1994	1	Leonardo ha affermato che Riccardo arriva.	0	0	1	0	0	0	0	0	0
343	Graffi_1994	1	Tommaso ha affermato che Lorenzo discute la sua tesi di laurea.	0	0	1	0	0	0	0	0	0
344	Graffi_1994	1	Alessandro ha affermato che Francesco si sposa.	0	0	1	0	0	0	0	0	0
345	Graffi_1994	1	Gli ho detto dove andare.	0	0	1	0	0	0	0	0	0
346	Graffi_1994	0	Gli ho detto dove di andare.	0	0	1	0	0	0	0	0	0
347	Graffi_1994	1	Francesco ha promesso che se ne andrà.	0	0	1	0	0	0	0	0	0
348	Graffi_1994	1	Riccardo ha promesso di andarsene.	0	0	1	0	0	0	0	0	0
349	Graffi_1994	1	Tommaso ha domandato chi partirà domani.	0	0	1	0	0	0	0	0	0
350	Graffi_1994	0	Francesco ha domandato che partirà domani.	0	0	1	0	0	0	0	0	0
353	Graffi_1994	1	Andrea ha detto che Gabriele ha comprato il giornale.	0	0	1	0	0	0	0	0	0
354	Graffi_1994	1	Ti ho detto che le mani me le sono già lavate.	0	0	1	0	0	0	0	0	0
356	Graffi_1994	1	Partito io, avrete più spazio a disposizione.	0	0	1	0	0	0	0	0	0
357	Graffi_1994	1	Leonardo sembra aver dato un libro a Paola.	0	0	1	0	0	0	0	0	0
358	Graffi_1994	1	Ha danneggiato se stesso.	0	0	1	0	0	0	0	0	0
359	Graffi_1994	1	Ha danneggiato lui.	0	0	1	0	0	0	0	0	0
